S.No.,Name,Designation,Department,Domain,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects - Completed,Research Projects - Ongoing,Total Publications,All_Domains,Primary Domain,Domain Category,Total_Projects,Has_Projects
2,Dr N C Kothiyal,Professor (HAG),Chemistry,Nanotechnology,63,5,7,12,0,75,['nanotechnology'],nanotechnology,Chemical & Materials,12,True
3,Dr Jaspreet Kaur Rajput,Associate Professor,Chemistry,Nanotechnology,62,6,10,9,2,78,['nanotechnology'],nanotechnology,Chemical & Materials,11,True
4,Dr Rajeev Jindal,Associate Professor,Chemistry,Nanotechnology,97,89,6,1,0,192,['nanotechnology'],nanotechnology,Chemical & Materials,1,True
5,Dr Rakesh Kumar,Associate Professor,Chemistry,Organic synthesis,31,7,1,3,1,39,['organic chemistry'],organic chemistry,Chemical & Materials,4,True
6,Dr Sadhika Khullar,Associate Professor,Chemistry,Organic synthesis,55,2,5,2,1,62,['organic chemistry'],organic chemistry,Chemical & Materials,3,True
7,Dr Sangeeta Obrai,Associate Professor,Chemistry,Inorganic synthesis,39,1,2,0,0,42,['inorganic chemistry'],inorganic chemistry,Chemical & Materials,0,False
8,Dr Uma Shanker,Associate Professor & Head,Chemistry,Nanotechnology,119,15,36,3,2,170,['nanotechnology'],nanotechnology,Chemical & Materials,5,True
9,Dr Vickram Jeet Singh,Associate Professor,Chemistry,Ionic Liquid,51,0,5,1,1,56,['chemical engineering'],chemical engineering,Chemical & Materials,2,True
10,Dr Vimal Kumar,Associate Professor,Chemistry,Inorganic synthesis,48,4,1,1,0,53,['inorganic chemistry'],inorganic chemistry,Chemical & Materials,1,True
11,Dr Manisha Devi,Assistant Professor Grade-II,Chemistry,Ionic Liquid,25,0,3,1,0,28,['chemical engineering'],chemical engineering,Chemical & Materials,1,True
12,Dr Poonam Rani,Assistant Professor Grade-II,Chemistry,Ionic Liquid,20,0,0,0,0,20,['chemical engineering'],chemical engineering,Chemical & Materials,0,False
13,Dr Sanjeeb Sutradhar,Assistant Professor Grade-II,Chemistry,Organic synthesis,9,0,1,0,0,10,['organic chemistry'],organic chemistry,Chemical & Materials,0,False
1,Dr Mithilesh Kumar Jha,Professor (HAG),Chemical Engineering,Waste Water Treatment,102,121,7,19,0,230,['water and wastewater'],water and wastewater,Civil & Environmental,19,True
2,Dr Ajay Bansal,Professor,Chemical Engineering,Waste Water Treatment,73,54,18,6,1,145,['water and wastewater'],water and wastewater,Civil & Environmental,7,True
3,Dr Renu Gupta,Professor,Chemical Engineering,Waste Water Treatment,30,66,8,8,0,104,['water and wastewater'],water and wastewater,Civil & Environmental,8,True
4,Dr Sangeeta Garg,Professor,Chemical Engineering,Waste Water Treatment,42,59,13,9,1,114,['water and wastewater'],water and wastewater,Civil & Environmental,10,True
5,Dr Shailendra Bajpai,Professor,Chemical Engineering,Waste Water Treatment,23,39,5,1,0,67,['water and wastewater'],water and wastewater,Civil & Environmental,1,True
6,Dr Jatinder Kumar Ratan,Associate Professor,Chemical Engineering,Computational Fluid Dynamics,50,71,6,5,9,127,['computational fluid dynamics'],computational fluid dynamics,Other,14,True
7,Dr. N. K. Srivastava,Associate Professor,Chemical Engineering,Renewable Energy,22,52,5,0,0,79,['renewable energy'],renewable energy,Power & Energy,0,False
8,Dr Poonam Gera,Associate Professor,Chemical Engineering,Renewable Energy,22,62,8,3,1,92,['renewable energy'],renewable energy,Power & Energy,4,True
9,Dr Raj Kumar Arya,Associate Professor,Chemical Engineering,Hydrogen Energy,95,24,47,3,1,166,['hydrogen energy'],hydrogen energy,Other,4,True
10,Dr Amit Dhruv Saran,Assistant Professor (Grade-I),Chemical Engineering,Nanotechnology,15,23,2,0,1,40,['nanotechnology'],nanotechnology,Chemical & Materials,1,True
11,Dr Anjireddy Bhavanam,Assistant Professor (Grade-I),Chemical Engineering,Waste Water Treatment,15,46,10,5,2,71,['water and wastewater'],water and wastewater,Civil & Environmental,7,True
12,Dr Anurag Kumar Tiwari,Assistant Professor (Grade-I),Chemical Engineering,Computational Fluid Dynamics,35,17,7,0,0,59,['computational fluid dynamics'],computational fluid dynamics,Other,0,False
13,Dr D Giribabu,Assistant Professor (Grade-I),Chemical Engineering,Waste Water Treatment,9,1,2,1,1,12,['water and wastewater'],water and wastewater,Civil & Environmental,2,True
14,Dr Deepak Sahu,Assistant Professor (Grade-I),Chemical Engineering,Chemical Process Safety,14,20,8,2,2,42,['chemical engineering'],chemical engineering,Chemical & Materials,4,True
15,Dr Neetu Divya,Assistant Professor (Grade-I),Chemical Engineering,Waste Water Treatment,15,42,5,1,0,62,['water and wastewater'],water and wastewater,Civil & Environmental,1,True
16,Dr. Nitin Naresh Pandhare,Assistant Professor (Grade-I),Chemical Engineering,Environmental Engineering,9,9,4,1,1,22,['environmental engineering'],environmental engineering,Other,2,True
17,Dr Shashikant Yadav,Assistant Professor (Grade-I),Chemical Engineering,Environmental Engineering,16,22,8,0,5,46,['environmental engineering'],environmental engineering,Other,5,True
18,Dr Umashankar Erigi,Assistant Professor (Grade-II),Chemical Engineering,Nanotechnology,3,5,0,0,0,8,['nanotechnology'],nanotechnology,Chemical & Materials,0,False
1,Dr Dinesh Kumar Shukla,Professor,Mechanical Engineering,Welding Technology,43,26,0,0,0,69,['welding'],welding,Mechanical & Manufacturing,0,False
2,Dr Joseph Anand Vaz,Professor,Mechanical Engineering,Mechatronics,18,10,9,4,0,37,['mechatronics'],mechatronics,Mechanical & Mechatronics,4,True
3,Dr Pramod Kumar,Professor,Mechanical Engineering,Renewable Energy,38,13,7,4,0,58,['renewable energy'],renewable energy,Power & Energy,4,True
4,Dr Raman Bedi,Professor,Mechanical Engineering,Structure Property correlation,63,30,7,0,2,100,['materials science'],materials science,Chemical & Materials,2,True
5,Dr Srinivas Tangellapalli,Professor & Head,Mechanical Engineering,Renewable Energy,77,79,18,3,1,174,['renewable energy'],renewable energy,Power & Energy,4,True
6,Dr Subhash Chander,Professor,Mechanical Engineering,Renewable Energy,57,16,1,1,1,74,['renewable energy'],renewable energy,Power & Energy,2,True
7,Mr. Ajay Trehan,Associate Professor,Mechanical Engineering,Renewable Energy,1,3,2,1,0,6,['renewable energy'],renewable energy,Power & Energy,1,True
8,Dr Dushyant Singh,Associate Professor,Mechanical Engineering,Turbulent Flows,32,19,8,1,3,59,['turbulent flows'],turbulent flows,Other,4,True
9,Dr R S Bharj,Associate Professor,Mechanical Engineering,Renewable Energy,60,4,3,0,0,67,['renewable energy'],renewable energy,Power & Energy,0,False
10,Dr Rajeev Kukreja,Associate Professor,Mechanical Engineering,Renewable Energy,28,23,4,0,2,55,['renewable energy'],renewable energy,Power & Energy,2,True
11,Dr S K Tiwari,Associate Professor,Mechanical Engineering,Welding Technology,34,7,3,0,0,44,['welding'],welding,Mechanical & Manufacturing,0,False
12,Dr Sarbjot Singh Sandhu,Associate Professor,Mechanical Engineering,Renewable Energy,39,15,7,2,0,61,['renewable energy'],renewable energy,Power & Energy,2,True
13,Dr Ashok Kumar Bagha,Assistant Professor (Grade-I),Mechanical Engineering,Vibration Engineering,38,37,4,2,1,79,['vibration engineering'],vibration engineering,Other,3,True
14,Dr Dwesh K. Singh,Assistant Professor (Grade-I),Mechanical Engineering,Computational Fluid Dynamics,30,11,3,1,1,44,['computational fluid dynamics'],computational fluid dynamics,Other,2,True
15,Dr Harpreet Singh,Assistant Professor (Grade-I),Mechanical Engineering,Nanotechnology,22,11,6,3,2,39,['nanotechnology'],nanotechnology,Chemical & Materials,5,True
16,Dr Manoj Kumar,Assistant Professor (Grade-I),Mechanical Engineering,Nanotechnology,46,23,9,0,0,78,['nanotechnology'],nanotechnology,Chemical & Materials,0,False
17,Dr Nitin Sharma,Assistant Professor (Grade-I),Mechanical Engineering,Surface Textures,20,20,3,1,1,43,['surface engineering'],surface engineering,Other,2,True
18,Dr Parnika Shrivastava,Assistant Professor (Grade-I),Mechanical Engineering,Product Design and Innovation,15,4,11,0,1,30,['product design'],product design,Other,1,True
19,Dr Rajan Kumar,Assistant Professor (Grade-I),Mechanical Engineering,Nanotechnology,57,6,9,0,2,72,['nanotechnology'],nanotechnology,Chemical & Materials,2,True
20,Dr Sanjay,Assistant Professor (Grade-I),Mechanical Engineering,Renewable Energy,38,12,5,2,1,55,['renewable energy'],renewable energy,Power & Energy,3,True
