Electrical Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
6,Dr Abhishek Narwaria,Assistant Professor Grade-II,4,5,0,0,0,"Machine learning, Deep learning"
7,Dr Arun Kumar,Assistant Professor Grade-II,4,4,0,2,0,"Machine Learning, Deep Learning"
8,Dr Avani Vyas,Assistant Professor (Grade-II),5,8,5,0,0,Networking and Communication
9,Dr Bharat Krishan Mahaur,Assistant Professor Grade-II,0,0,0,0,0,Optimization
10, Dr Ikkurthi Bhanu Prasad,Assistant Professor Grade-II,6,5,0,0,0,Machine Learning
11,Dr Jaspal Kaur Saini,Assistant Professor Grade-II,5,6,0,0,1,"Machine learning, Deep learning"
12,Dr Kumar Prateek,Assistant Professor Grade-II,5,1,2,0,0,Machine Learning
12,Dr Naveen Kumar Gupta,Assistant Professor Grade-II,10,12,1,0,1,"AI, Machine Learning"
13,Dr Neeraj Kumar,Assistant Professor Grade-II,21,12,5,0,0,Machine Learning
14,Dr Pallabi Sharma,Assistant Professor Grade-II,8,0,0,0,0,"Machine learning, Deep learning"
15,Dr Rabi Shaw,Assistant Professor Grade-II,5,10,6,0,0,"Machine learning, Deep learning"
16,Dr Ravi Yadav,Assistant Professor Grade-II,5,0,0,0,0,Blockchain
17,Dr Simranjit Singh,Assistant Professor Grade-II,12,5,1,3,0,"Machine learning, Deep learning"
18,Dr Vikas Chauhan,Assistant Professor Grade-II,6,4,0,0,1,"Machine learning, Deep learning"
,,,380,147,62,11,12,
,,,,,,,Total=572,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Instrumentation and Control Engineering ,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Dilbag Singh,Professor,58,9,5,3,0,"Electrical Measurements and Instrumentation, Control System"
2,Dr Kuldeep Singh Nagla,Professor & Head,33,29,2,5,0,Autonomous Mobile Robot 
3,Dr Sharvan Kumar Pahuja,Professor,27,11,5,5,0,Control Systems 
4,Er Narinder Singh Bhangal,Associate Professor,11,13,0,0,0,Inverted Pendulum System 
5,Dr Rajesh Singla,Associate Professor,26,25,6,0,3,Machine Learning 
6,Dr Roop Pahuja,Associate Professor,34,22,3,3,0,Remote Sensing 
7,Dr Sheela Tiwari,Associate Professor,21,27,2,0,0,Machine Learning 
8,Dr Afzal Sikander,Assistant Professor (Grade-I),54,34,22,2,1,Control Theory and Applications
9,Dr Amit Kumar Singh,Assistant Professor (Grade-I),19,14,9,0,0,Controller Design
10,Dr Anil Kumar Yadav,Assistant Professor (Grade-I),55,9,6,2,2,Intelligent & Nonlinear Control
11,Dr Karan Veer,Assistant Professor (Grade-I),47,5,9,1,1,biomedical instrumentation and Machine Learning
12,Dr Om Prakash Verma,Assistant Professor (Grade-I),52,1,26,1,3,Computer Vision
13,Dr Ravi Verma,Assistant Professor (Grade-I),7,9,3,0,3,Low temperature Instrumentation
14,Dr Richa Sharma,Assistant Professor (Grade-I),15,8,2,0,1,Brain-Computer Interface (BCI)
15,Dr Deblina Biswas,Assistant Professor (Grade-II),13,7,4,1,0,Biointsrumentation
16,Dr Karan Jain,Assistant Professor (Grade-II),10,8,0,0,1,Biomedical instrumentation.
17,Dr Mahendra Kumar,Assistant Professor (Grade-II),20,15,0,0,2,Advances in Control Theory
,,,502,,,,,
